"Term_ID
[ENGLISH]



Data Type
Integer","Term
[OPERATING LANGUAGE]



Data Type
Character String","Term_Abbreviation
[OPERATING LANGUAGE]


Data Type
Character String

Note - Only if an accepted abbreviation exists","Country code
[ENGLISH]



Data Type
Character String

Note - Only when identifying a national term equivalent","Definition
[OPERATING LANGUAGE]



Data Type
Character String","Term
[OPERATING LANGUAGE - ALTERNATIVE CHARACTER SET]

Data Type
Character String

Note - This field contains the term 
in the operating language but using 
an alternative character set 
(For example, terms written in Korean 
but with Chinese characters). 
Its use is optional. ","Term in English
[ENGLISH]



Data Type
Character String","Entry Status
[OPERATING LANGUAGE]



Data Type
Must be one of 
'notValid'
'valid'
'superseded'
'retired'.","Term Clasification
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of the following
'preferred'
'admitted'
'deprecated'","Review Indicator
[OPERATING LANGUAGE]



Data Type
Character String
Values = empty field or 'Under Review 
in Source Standard')","Authoritative Source
[ENGLISH]


Data Type
Character String","Similarity to Authoritative Source
[ENGLISH]


Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6","Lineage Source
[OPERATING LANGUAGE]


Data Type
Character String","Similarity to Lineage Source
[OPERATING LANGUAGE]

Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6
","Term Synonyms
[OPERATING LANGUAGE]


Data Type
Character String","Date Accepted
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Date Amended
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review
Date
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review Status
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of 
'pending'
'tentative'
'final'","Review Type
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of
'supersession', 
'retirement'","Review
Decision
[OPERATING LANGUAGE]

Data Type
Character String
Must be one of
'withdrawn', 
'accepted'
'notAccepted'","Review Decision
Date
[OPERATING LANGUAGE]

Data Type
Date
yyyy-mm-dd","Review Decision
Event
[OPERATING LANGUAGE]

Data Type
Character String","Review Decision
Notes
[OPERATING LANGUAGE]

Data Type
Character String
","Example_1
[OPERATING LANGUAGE]



Data Type
Character String","Note_1
[OPERATING LANGUAGE]



Data Type
Character String","Example_2
[OPERATING LANGUAGE]



Data Type
Character String","Note_2
[OPERATING LANGUAGE]



Data Type
Character String","Example_3
[OPERATING LANGUAGE]



Data Type
Character String","Note_3
[OPERATING LANGUAGE]



Data Type
Character String","Example_4
[OPERATING LANGUAGE]



Data Type
Character String","Note_4
[OPERATING LANGUAGE]



Data Type
Character String","Example_5
[OPERATING LANGUAGE]



Data Type
Character String","Note_5
[OPERATING LANGUAGE]



Data Type
Character String","Example_6
[OPERATING LANGUAGE]



Data Type
Character String","Note_6
[OPERATING LANGUAGE]



Data Type
Character String","Example_7
[OPERATING LANGUAGE]



Data Type
Character String","Note_7
[OPERATING LANGUAGE]



Data Type
Character String","Example_8
[OPERATING LANGUAGE]



Data Type
Character String","Note_8
[OPERATING LANGUAGE]



Data Type
Character String","Glossary
Release
[ENGLISH]


Data Type
Integer
Must be one of the following codes
'release1' = 1
'release1_retired' = -1
'release2' = 2
'release2_retired' = -2
etc
"
70,개념적 스키마 언어,,,개념적 스키마의 표현을 위해 개념적 형식에 근거한 형식 언어,,conceptual schema language,valid,preferred,,"ISO 19101-1:2014, 4.1.7",1,ISO 19101:2002,1,,2008-12-30,,2010-10-12,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,"보기: UML, EXPRESS, IDEF1X ",비고: 개념적 스키마 언어는 어휘적이거나 그래픽적일 수 있다. 몇몇 개념적 스키마 언어들은 동일한 개념적 형식에 근거할 수 있다.,,,,,,,,,,,,,,,1
71,적합성,,,명시된 요구 사항을 구현한 것에 대한 충실도 ,,conformance,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
72,적합성 평가 과정,,,표준 표준에 따라 적합성을 만족하도록 구현되었는지를 평가하는 과정,,conformance assessment process,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
73,적합성 조항,,,표준의 요구사항 충족을 위해 필요한 것이 무엇인지를 정의하는 조항 ,,conformance clause,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
74,적합성 품질 수준,,,데이터셋이 제품 사양이나 사용자의 요구사항을 만족했는지를 결정하는데 사용되는 데이터 품질 결과에 대한 임계 값 또는 임계 값의 집합,,conformance quality level,retired,,,"ISO 19114:2003, 4.1",1,ISO 19113,1,,2009-12-29,2013/12/15,2010-07-09,final,supersession,accepted,2013-12-15,Publication of ISO 19157:2013,The entry has been superseded. An entry with a revised definition has been published in ISO 19157:2013,,,,,,,,,,,,,,,,,-1
75,적합성 시험 보고서,,,시험의 상세 내용과 표준에 대한 적합성 여부를 요약한 보고서 ,,conformance test report,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
76,적합성 시험,,,구현된 제품의 적합 정도를 결정하기 위한 시험,,conformance testing,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
77,적합성 구현,,,적합성 요건을 만족시키는 구현,,conforming implementation,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
78,연결,,,객체에서 임의의 두 개의 직접 위치가 그 객체 내부에 완전하게 포함되는 곡선상에 위치할 수 있는 것을 의미하는 기하 객체의 특성,,connected,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,비고: 위상 객체는 기하 실현이 실제로 연결되어 있어야만 '연결되었다'라고 할 수 있다. 이는 위상학적 규칙을 따라야 하는 것으로 정의에 포함되지는 않는다. ,,,,,,,,,,,,,,,
79,연결 절점,,,한 개 이상의 변으로 시작하거나 끝나는 절점,,connected node,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
734,제약 조건,,,"차종, 물리적 또는 시간적 제약 조건과 같이, 차량에 의한 링크 또는 회전의 제한",,constraint,valid,preferred,,ISO 19133:2005,1,KS X ISO 19133,,,2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,
81,제약 조건 <UML>,,,의미론적 조건 또는 제한,,constraint <UML>,valid,preferred,Being considered for supersession in revision of ISO/TS 19103:2005 (ISO/DIS 19103:2013),ISO/IEC 19501,2,"ISO/TS 19103:2005 ,4.2.11",1,,2009-12-29,,2009-08-31,pending,supersession,,,,,,"비고: 영역은 속성, 연산자, 함수에 대한 영역 집합 및 범위 집합을 정의하는데 사용된다.",,,,,,,,,,,,,,,1
659,연속 변환,,,속성이 거리 관측 유형인 변환에서 속성의 값은 알려진 두 측정 간의 매개 값을 사용한 것으로 가정할 수 있다. ,,continuous change,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,"비고: 연속 변환의 보간법은 일반적으로 ""곡선""상 두 개의 데이터 점((시간1,값1), (시간2,값2))과 시간 함수 값을 제약 조건으로 사용한다. 예를 들어, 차량의 이동에 대한 연속 변환의 경우 반드시 제약 조건으로 물리학과 도로 상태를 고려해야 한다.",,,,,,,,,,,,,,,
83,연속 커버리지,,,"동일한 피처(공간 객체, 시간 객체, 시공간 객체) 속성값이 영역 내 서로 다른 직접 위치에서 다른 값을 갖는 커버리지",,continuous coverage,valid,preferred,,ISO 19123:2005,1,KS X ISO 19123,,,2007-11-01,,,,,,,,,,"비고: 연속 커버리지의 영역이 통상적으로 시간 또는 공간 범위의 표현으로 한정될지라도, 이는 무한한 수의 위치로 세분될 수 있다.",,,,,,,,,,,,,,,
84,통제 기구,,,등록물의 내용에 대한 결정권을 갖는 전문가 집단,,control body,valid,preferred,,ISO 19135:2005,1,KS X ISO 19135,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
85,전환 규칙,,,입력 데이터 구조의 인스턴스를 출력 자료 구조의 인스턴스로 바꾸는 규칙,,conversion rule,valid,preferred,,"ISO 19118:2011, 4.7",1,ISO 19118:2005,1,,2008-12-30,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Authoritative reference changed from ISO 19118:2005 to ISO 19118:2011. Lineage source added as ISO 19118:2005.,,,,,,,,,,,,,,,,,1
86,볼록 외곽,,,기하 객체를 포함하는 최소의 볼록 집합,,convex hull,valid,preferred,,"Dictionary of Computing, Fourth Edition, Oxford University Press",5,KS X ISO 19104,,,2008-12-19,,,,,,,,,,"비고: ""최소""는 이론상 가장 작은 것으로, 이는 측정 결과를 말하는 것은 아니다. 볼록 외곽은 ""기하 객체를 포함하는 모든 볼록 집합의 교차점""으로 재정의될 수 있다.",,,,,,,,,,,,,,,
87,볼록 집합,,,내부의 임의 두 직접 위치를 잇는 직선 조각상의 모든 점을 포함할 수 있는 기하 집합,,convex set,valid,preferred,,"Dictionary of Computing, Fourth Edition, Oxford University Press",5,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
88,좌표,,,n차원의 공간에서 점의 위치를 표현하는 n개의 숫자 연속,,coordinate,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,비고: 좌표 참조 체계에서 좌표를 나타내는 숫자는 적합한 단위를 사용해야 한다. ,,,,,,,,,,,,,,,
762,좌표 전환,,,동일한 데이텀을 기준으로 하는 두 개의 좌표 참조 체계에서의 좌표 연산,,coordinate conversion,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,"보기: WGS84 데이텀 기준 타원체 좌표 참조 체계에서 WGS84 데이텀 기준 수직 좌표 참조 체계로의 변환, 또는  라디안에서 각도로, 또는 피트에서 미터로의 단위 변경",비고: 좌표 전환은 경험적으로 산출된 값이 아닌 특정 값을 매개 변수로 사용한다.,,,,,,,,,,,,,,,
90,좌표 차원,,,좌표 체계에서 위치를 기술하는 데 필요한 측정 또는 축의 수,,coordinate dimension,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
91,좌표 연산,,,하나의 좌표 참조 체계로부터 다른 좌표 참조 체계로의 1대1 관계를 갖는 좌표 변경,,coordinate operation,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,비고: 좌표 변환과 좌표 전환의 상위 유형,,,,,,,,,,,,,,,
703,좌표 참조 체계,,,데이텀에 의해 객체와 관련된 좌표 체계,,coordinate reference system,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,"비고: 측지 원점 및 수직 데이텀의 경우, ""객체""는 지구이다.",,,,,,,,,,,,,,,
729,좌표 집합,,,동일한 좌표 참조 체계를 사용하는 좌표 튜플의 모음,,coordinate set,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
93,좌표 체계,,,점에 어떤 좌표를 부여할지를 규정하기 위한 수학적 규칙의 집합,,coordinate system,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
763,좌표 변환,,,서로 다른 데이텀을 기준으로 하는 두 개의 좌표 참조 체계에서의 좌표 연산,,coordinate transformation,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,비고: 좌표 변환은 경험적 매개 변수를 사용한다. 이는 두 개의 좌표 참조 체계에서 미리 알려진 좌표 점의 집합을 통해 도출된 것이다. ,,,,,,,,,,,,,,,
735,좌표 튜플,,,좌표의 연속으로 구성된 튜플,,coordinate tuple,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,비고: 좌표 튜플의 좌표 개수는 좌표 체계의 차원과 같다. 좌표 튜플의 좌표 순서는 좌표 체계의 축 순서와 같다.  ,,,,,,,,,,,,,,,
96,협정 세계시,,,제 도량형 협회와 표준시와 표준 주파수를 보급하는 국제 지구 자전 협회(IERS: International Earth Rotation Service)가 유지 관리하는 시간 척도,,Coordinated Universal Time (UTC),valid,preferred,,ITU-R Rec.TF.686-1 (1997),1,KS X ISO 19104,,,2008-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
736,정확성,,,논의의 영역에 대한 부합 정도,,correctness,valid,preferred,,"ISO 19157:2013, 4.5",1,ISO 19138:2006,1,,2007-11-30,,2010-07-09,final,,accepted,2013/12/15,Publication of ISO 19157:2013,Authoritative reference changed from ISO 19138:2006 to ISO 19157:2013. Lineage source added as ISO 19138:2006.,,,,,,,,,,,,,,,,,1
97,비용 함수,,,경로 측정(비용)과 관련된 함수,,cost function,valid,preferred,,ISO 19133:2005,1,KS X ISO 19133,,,2006-12-01,,,,,,,,,,"비고: 보통의 메커니즘은 경로의 각 부분에 비용을 할당하고, 전체 경로에 대한 비용을 각 부분 비용의 합으로 정의하는 것이다. 이는 대부분의 일반적인 내비게이션 알고리듬 연산에 필수적으로 사용된다. 비용 함수의 단위는 화폐 비용이나 가치만으로 제한되지 않으며, 시간, 거리 등 다양한 척도가 사용될 수 있다. 다만 함수는 덧셈이 가능해야 하며, 음의 값을 가질 수 없다. 이 마지막 기준은 값이 0이 아니거나 또는 비용이 네트워크상의 루프와 연관되어야 하는 것으로 완화될 수 있으며, 이는 ""최소 비용"" 경로의 존재를 예방한다.",,,,,,,,,,,,,,,
660,결합,,,두 개 이상의 시스템 간 정보의 전송 또는 메시징을 통한 연계,,coupling,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,"비고 1: 통합과 비교하라. 전송된 정보의 개념적 스키마는 일정 수준 일치할 수 있으나, 결합 응용은 일반적으로 의미론적 내용이 정확하며 개념적 스키마의 정규 표현과 매핑 가능한 정보를 표현하는 데이터에서 유연하게 사용된다. 가장 일반적인 매핑 기술로 사용되는 XML 메시지는 XSLT이며, 변환 스타일시트는 서비스 브로커 또는 서비스 제공자에 의해 공급될 수 있다. 서비스 제공자는 논리적으로 대응하는 다양한 메시징 API를 통해 그 기능을 제공하고, XSLT 변환 브리지에 링크된 각기 다른 URI에 의한 표현을 고려하며, 동일한 내부 코드를 통해 구현되도록 한다.",,"비고 2: 약결합과 강결합은 현재 잘 정의된 용어는 아니다. 일반적으로 ""강"" 결합이란,  인터페이스의 활용에서 요청자와 응답자 간에 발생하는 의존도를 의미한다. 반면 ""약""결합은 이와 같은 의존도가 없음을 의미한다. 의존도의 본질은 개발자 간에 일관성 있게 정의되지 않고 있다. 이런 맥락에서 ""강"" 결합 또는 ""강"" 통합은 좋지 않은 예시로써, 용어가 생긴 이래로 계속 검토되고 있다. 어떤 문헌에서는 ""강결합""으로 통합을 참조하고 있으나, 다소 정확하지 않게 기술되어 있다. ",,,,,,,,,,,,,
99,커버리지,,,"시공간 영역(공간, 시간, 시공간) 내에서 함수처럼 그 범위 내의 특정 직접 위치에 대한 값을 반환하는 피처",,coverage,valid,preferred,,ISO 19123:2005,1,KS X ISO 19123,,,2007-11-01,,,,,,,,,"보기: 래스터 이미지, 다각형 중첩, DEM","비고: 커버리지는 다른 말로 각각의 속성 유형에 대한 다양한 값을 갖는 피처이며, 피처의 기하학적 표현 내에서 각각의 직접 위치는 각 속성 유형별로 하나의 값을 갖는다.",,,,,,,,,,,,,,,
100,커버리지 기하,,,좌표로 기술된 커버리지의 시공간적 영역에 대한 구성 ,,coverage geometry,valid,preferred,,ISO 19123:2005,1,KS X ISO 19123,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
101,곡선,,,선의 연속적 이미지를 표현하는 1차원 기하 원시 객체,,curve,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,"비고: 곡선의 경계는 곡선의 양쪽 끝 점의 집합이다. 만약 곡선이 순환한다면(위상적으로 폐합되어 있다면), 두 끝점은 동일하며 곡선은 경계를 갖지 않는다. 첫 번째 점은 시작점으로, 마지막 점은 끝점으로 불린다. 곡선의 연결성은 ""선의 연속 이미지""라는 절에 기술되어 있으며, ""연결 집합의 연속 이미지는 연결되어 있다""라고 위상적으로 정의된다.",,,,,,,,,,,,,,,
102,곡선 분절,,,동일한 보간법 및 정의 방법으로 곡선의 연속적인 컴포넌트의 표현에 사용되는 1차원 기하객체,,curve segment,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,비고: 단일 곡선 분절에 의해 표현되는 기하 집합은 곡선과 같다.,,,,,,,,,,,,,,,
103,순환<기하>,,,경계가 없는 공간 객체,,cycle<geometry>,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,"비고: 순환은 경계 컴포넌트(외면, 링)의 기술에 사용된다. 순환은 스스로 완결되어 있지만 묶여 있기 때문에 경계가 없다. 예를 들어 원이나 구는 경계가 없지만 묶여 있다.",,,,,,,,,,,,,,,
603,원통 좌표계,,,두 개의 거리와 하나의 각도 좌표로 구성된 3차원 좌표 체계,,cylindrical coordinate system,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
104,데이터,,,"정보를 의사소통, 해석, 처리에 적합한 형식으로 재해석 가능하도록 표현한 것",,data,valid,preferred,,ISO/IEC 2382-1:1993,1,"ISO 19118:2011 ,4.8",1,,2008-12-19,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Lineage source changed from  ISO 19118:2005 to ISO 19118:2011.,,,,,,,,,,,,,,,,,1
105,데이터 요소,,,특정 상황에서 더 이상 나누어질 수 없는 데이터 단위,,data element,retired,,,"ISO 19118:2005, 4.9",1,,,,2008-12-30,2011/10/15,2011-10-15,final,retirement,accepted,2011-10-15,Publication of ISO 19118:2011,The entry has been omitted from the superseding standard  (ISO 19118:2011).,,,,,,,,,,,,,,,,,-1
107,데이터 교환,,,데이터의 송수신 및 해석을 위한 처리 과정,,data interchange,valid,preferred,,"ISO 19118:2011, 4.9",1,ISO 19118:2005,1,,2008-12-30,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Authoritative reference changed from ISO 19118:2005 to ISO 19118:2011. Lineage source added as ISO 19118:2005.,,,,,,,,,,,,,,,,,1
108,데이터 층위,,,특정 인스턴스를 기술하고 있는 데이터가 포함된 레벨,,data level,retired,,,"ISO 19101:2002, 4.8",1,,,데이터 레벨,2008-12-30,2014/11/01,2010-10-12,final,retirement,accepted,2014/11/01,Publication of ISO 19101-1:2014,The entry has been omitted from the superseding standard  (ISO 19101-1:2014).,,,,,,,,,,,,,,,,,-1
110,데이터 제품,,,데이터 제품 사양을 따르는 데이터셋 또는 데이터셋 시리즈,,data product,valid,preferred,,ISO 19131:2007,1,KS X ISO 19131,,,2008-12-01,,,,,,,,,,,,,,,,,,,,,,,,,
111,데이터 제품 사양,,,"데이터 제품에 대하여 제3자가 이를 생성, 공급, 사용하는 데 필요한 정보를 제공하는 데이터셋 또는 데이터셋 시리즈의 상세 설명 ",,data product specification,valid,preferred,,ISO 19131:2007,1,KS X ISO 19131,,,2008-12-01,,,,,,,,,,"비고: 데이터 제품 사양은 논의의 영역에 대한 설명과 그 논의의 영역과 데이터셋을 매핑하기 위한 사양을 제공한다. 데이터 제품 사양은 생산, 판매, 최종 사용 또는 기타 목적을 위해 사용할 수 있다.",,,,,,,,,,,,,,,
632,데이터 품질 기본 척도,,,데이터 품질 측정 값을 생성하는 데 기준으로 사용되는 일반적인 데이터 품질 척도,,data quality basic measure,valid,preferred,,"ISO 19157:2013, 4.7",1,ISO 19138:2006,1,,2007-11-01,,2010-07-09,final,,accepted,2013/12/15,Publication of ISO 19157:2013,Authoritative reference changed from ISO 19138:2006 to ISO 19157:2013. Lineage source added as ISO 19138:2006.,,비고: 데이터 품질 기본척도는 추상 데이터 유형으로 데이터의 품질을 보고할 때 직접적으로 사용될 수 없다.,,,,,,,,,,,,,,,1
112,데이터 품질 일자,,,데이터 품질 측정을 실시한 일자 또는 범위,,data quality date,retired,,,"ISO 19113:2002, 4.4",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,,,,,,,,,,,,,,,,,-1
113,데이터 품질 요소,,,품질정보를 기술하는 데이터셋의 정량적 컴포넌트,,data quality element,retired,,,"ISO 19101:2002, 4.9",1,,,,2008-12-30,2014/11/01,2010-10-12,final,retirement,accepted,2014/11/01,Publication of ISO 19101-1:2014,The entry has been omitted from the superseding standard  (ISO 19101-1:2014).,,비고: 데이터셋에 대한 데이터 품질 요소의 적용 여부는 데이터셋의 내용과 그 제품 사양 모두에 달려 있다. 모든 데이터 요소를 모든 데이터셋에 적용하는 것은 어려울 수 있다.,,,,,,,,,,,,,,,-1
114,데이터 품질 평가 절차,,,품질 산출 방법을 적용하여 그 결과를 보고하는 절차,,data quality evaluation procedure,retired,,,"ISO 19113:2002, 4.6",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,,,,,,,,,,,,,,,,,-1
115,데이터 품질 측정,,,데이터 품질 하위 요소의 산출,,data quality measure,retired,,,"ISO 19113:2002, 4.7",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,보기: 백분율로 표현된 속성 값,,,,,,,,,,,,,,,,-1
116,데이터 품질 개관 요소,,,데이터셋의 품질을 기술하는 비정량적 컴포넌트,,data quality overview element,retired,,,"ISO 19101:2002, 4.10",1,,,,2008-12-30,2014/11/01,2010-10-12,final,retirement,accepted,2014/11/01,Publication of ISO 19101-1:2014,The entry has been omitted from the superseding standard  (ISO 19101-1:2014).,,"비고: 데이터셋의 목적, 사용법, 그리고 연혁에 대한 정보는 비정량적 정보이다.",,,,,,,,,,,,,,,-1
117,데이터 품질 결과,,,데이터 품질 측정의 결과 값이나 값의 집합 또는 이를 정해진 적합성 품질 수준에 따라 평가한 결과,,data quality result,retired,,,"ISO 19113:2002, 4.9",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,"보기: 데이터 품질 요소의 보고를 위한 데이터 품질 값 유형인 ""백분율""에 대한 데이터 품질 결과인 ""90""과 이것의 데이터 품질 하위 요소 ""완전 위임""은 데이터 품질 범위에 규정된 데이터 품질 측정 결과의 사례이다. 데이터 품질 값 유형인 ""불린 변수""에 따라 보고된 산출 결과인 ""참""은 통과 또는 실패를 결정짓는 품질 적합성 수준 (85)를 만족하는 값 (90)에 대한 사례이다. ",,,,,,,,,,,,,,,,-1
118,데이터 품질 범위,,,품질 정보가 기록된 데이터의 범위 혹은 특성,,data quality scope,retired,,,"ISO 19113:2002, 4.10",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,,"비고: 데이터셋에 대한 데이터 품질 범위는 데이터셋에 속하거나, 데이터셋 자체 또는 공통적인 특징을 공유하는 데이터셋 내에 물리적으로 위치하는 보다 작은 그룹의 데이터와 같은 데이터셋 시리즈를 포함한다. 식별된 피처 유형, 피처 속성, 피처 관계(데이터 수집 기준, 원천 데이터, 특정한 지리적 또는 시간적 범위)가 공통적인 특징이 될 수 있다.",,,,,,,,,,,,,,,-1
119,데이터 품질 하위 요소,,,데이터 품질 요소의 특정한 측면을 설명하는 컴포넌트,,data quality subelement,retired,,,"ISO 19113:2002, 4.11",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,,,,,,,,,,,,,,,,,-1
120,데이터 품질 값 유형,,,데이터 품질 결과를 보고하는 값의 유형,,data quality value type,retired,,,"ISO 19113:2002, 4.12",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,"보기: 부울린 변수, 백분율, 비율",비고: 데이터 품질 값 유형은 항상 데이터 품질 결과를 규정한다.,,,,,,,,,,,,,,,-1
121,데이터 품질 값 단위,,,데이터 품질 결과를 보고하는 값의 단위,,data quality value unit,retired,,,"ISO 19113:2002, 4.13",1,,,,2007-11-01,2013/12/15,2013-12-15,final,retirement,accepted,2013/12/15,Publication of ISO 19157:2013,The entry has been omitted from the superseding standard  (ISO 19157:2013).,보기: 미터,비고: 데이터 품질 값 단위는 데이터 품질 결과에 적용 가능할 때만 제공된다.,,,,,,,,,,,,,,,-1
122,데이터 전송,,,매체를 통해 한 지점에서 다른 지점으로 데이터를 이동시키는 것,,data transfer,valid,preferred,,"ISO 19118:2011, 4.10",1,ISO 19118:2005,1,,2008-12-30,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Authoritative reference changed from ISO 19118:2005 to ISO 19118:2011. Lineage source added as ISO 19118:2005.,,비고: 정보의 전송은 데이터의 전송을 의미한다.,,,,,,,,,,,,,,,1
123,데이터 유형,,,영역 내의 값을 바탕으로 연산을 통해 나올 수 있는 허용된 값 영역의 사양,,data type,valid,preferred,,ISO/TS 19103:2005,1,KS X ISO 19103,,,2009-12-29,,,,,,,,,"보기: 정수, 실수, 부린, 문자열, 날짜, SG point(데이터를 코드로 전환하는 것)",비고: 데이터 유형은 미리 정의된 유형과 사용자 정의 유형을 포함한다.,,,,,,,,,,,,,,,
124,데이터셋,,,식별 가능한 데이터의 모음,,dataset,valid,preferred,,"ISO 19115-1:2014, 4.3",1,ISO 19101:2002,1,,2008-12-30,,2011-01-01,final,,accepted,2014/04/01,Publication of ISO 19115-1:2014,Authoritative reference changed from ISO 19115:2003 to ISO 19115-1:2014.,,"비고: 데이터셋은 비록 공간 범위나 피처 유형과 같은 제약 조건으로 한정되어도 보다 큰 데이터셋 내에 물리적으로 존재하는 보다 작은 데이터의 그룹이 될 수 있다. 이론적으로, 데이터셋은 하나의 피처 또는 보다 큰 데이터셋에 포함된 피처 속성 만큼이나 작다. 종이 지도 및 도표는 데이터셋으로 간주된다.",,,,,,,,,,,,,,,1
125,데이터셋 시리즈,,,동일한 제품 사양을 통해 작성된 데이터셋의 모음,,dataset series,retired,,,"ISO 19115:2003, 4.3",1,ISO 19113,1,,2008-12-30,2014/04/01,2011-01-01,final,supersession,accepted,2014/04/01,Publication of ISO 19115-1:2014,The entry has been superseded. An entry with a revised definition has been published in ISO 19115-1:2014,,,,,,,,,,,,,,,,,-1
704,데이텀,,,"좌표 체계의 기점, 축척, 방향을 정의하는 매개 변수 또는 매개 변수의 집합",,datum,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
127,일,,,지구 자전 주기와 명목상 같은 지속 기간을 갖는 기간,,day,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
